Tattag;Tatzeit/Uhrzeit;Tatort 2;Tbnr1; Geldbuße 
20.04.2015;1156;Meerstraße / B, Innenhof;113122; 20,00 € 
20.04.2015;954;Annastraße / C3 in Höhe von Haus-Nr. 16;113140; 10,00 € 
20.04.2015;1000;Annastraße / C3 in Höhe von Haus-Nr. 9;113140; 10,00 € 
20.04.2015;1005;Annastraße / C3 in Höhe von Haus-Nr., Schule;113140; 10,00 € 
20.04.2015;1031;Zum Bollwerk / DE, Parkplatz;113140; 10,00 € 
20.04.2015;1034;Zum Bollwerk / DE, Parkplatz;113140; 10,00 € 
20.04.2015;1121;Wittfeldstraße in Höhe von Haus-Nr. 12;142262; 10,00 € 
20.04.2015;1124;Wittfeldstraße in Höhe von Haus-Nr. 18;142262; 10,00 € 
20.04.2015;1126;Wittfeldstraße in Höhe von Haus-Nr. 24;142262; 10,00 € 
20.04.2015;1128;Wittfeldstraße in Höhe von Haus-Nr. 28;142262; 10,00 € 
20.04.2015;1403;Neumarkt / A, Parkplatz;113120; 10,00 € 
20.04.2015;1409;Neumarkt / A, Parkplatz;113140; 10,00 € 
20.04.2015;1411;Neumarkt / A, Parkplatz;113120; 10,00 € 
20.04.2015;1558;Neumarkt / A, Parkplatz;113122; 20,00 € 
20.04.2015;1427;Neumarkt / A, Parkplatz;113120; 10,00 € 
20.04.2015;1449;Meerstraße / B, Innenhof;113122; 20,00 € 
20.04.2015;1609;Meerstraße / B ggü. Haus-Nr. 3;142278; 35,00 € 
20.04.2015;1614;Haagstraße / B ggü. Haus-Nr. 28;142278; 35,00 € 
20.04.2015;1617;Haagstraße / B ggü. Haus-Nr. 26;113320; 10,00 € 
20.04.2015;1629;Neumarkt / A, Parkplatz;113120; 10,00 € 
20.04.2015;1632;Neumarkt / A, Parkplatz;113120; 10,00 € 
20.04.2015;1635;Neumarkt / A, Parkplatz;113120; 10,00 € 
20.04.2015;1636;Neumarkt / A, Parkplatz;113120; 10,00 € 
20.04.2015;921;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
20.04.2015;923;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
20.04.2015;927;Nordring / C2 in Höhe von Haus-Nr. 8;141062; 30,00 € 
20.04.2015;930;Nordring / C2 in Höhe von Haus-Nr. 1;141062; 30,00 € 
20.04.2015;937;Seminarstraße in Höhe von Haus-Nr. 11;141402; 10,00 € 
20.04.2015;941;Seminarstraße ggü. Haus-Nr. 41;113240; 10,00 € 
20.04.2015;942;Seminarstraße ggü. Haus-Nr. 43;141412; 10,00 € 
20.04.2015;944;Baerler Straße ggü. Haus-Nr. 13;113240; 10,00 € 
20.04.2015;946;Baerler Straße in Höhe von Haus-Nr. 18;113260; 10,00 € 
20.04.2015;1031;Landwehrstraße / C1 in Höhe von Haus-Nr. 42;113240; 10,00 € 
20.04.2015;1053;Klever Straße, Gegenüber Burger King;113300; 10,00 € 
20.04.2015;1100;Friedrich-Ebert-Platz / De, Parkplatz;113140; 10,00 € 
20.04.2015;1104;Bankstraße / C1 in Höhe von Haus-Nr. 10;113140; 15,00 € 
20.04.2015;1153;Otto-Hue-Straße / C1 in Höhe von Haus-Nr. 4;113120; 10,00 € 
20.04.2015;1200;Essenberger Straße / C1, Parkplatz;113120; 10,00 € 
20.04.2015;1201;Essenberger Straße / C1, Parkplatz;113120; 15,00 € 
20.04.2015;1034;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1036;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1037;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1038;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1038;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1040;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1041;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1042;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1043;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1044;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1045;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1046;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1046;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1047;An der Berufsschule, PpL;141015; 10,00 € 
20.04.2015;1208;Augustastraße / C1 in Höhe von Haus-Nr. 7-9;141352; 15,00 € 
20.04.2015;1213;Xeniastraße ggü. Haus-Nr. 8;142103; 10,00 € 
20.04.2015;1235;Josefstraße / C3 ggü. Haus-Nr. 27;113120; 10,00 € 
20.04.2015;1238;Josefstraße / C3 in Höhe von Haus-Nr. 30;113140; 10,00 € 
20.04.2015;1241;Josefstraße / C3 in Höhe von Haus-Nr. 46;113140; 10,00 € 
20.04.2015;1249;Josefstraße / C3 in Höhe von Haus-Nr. 29;113120; 10,00 € 
20.04.2015;1249;Josefstraße / C3 in Höhe von Haus-Nr. 29;113120; 10,00 € 
20.04.2015;1254;Voßrather Straße in Höhe von Haus-Nr. 25;112403; 30,00 € 
20.04.2015;1438;Zwickauer Straße, SPARKASSE;113300; 10,00 € 
20.04.2015;1439;Zwickauer Straße, SPARKASSE;113300; 10,00 € 
20.04.2015;1441;Zwickauer Straße in Höhe von Haus-Nr. 15;113300; 10,00 € 
20.04.2015;1443;Zwickauer Straße in Höhe von Haus-Nr. 16;113282; 20,00 € 
20.04.2015;1445;Zwickauer Straße ggü. Haus-Nr. 19;113300; 10,00 € 
20.04.2015;1532;Gerhart-Hauptmann-Straße in Höhe von Haus-Nr. 2;112402; 20,00 € 
20.04.2015;1532;Gerhart-Hauptmann-Straße in Höhe von Haus-Nr. 2;112402; 20,00 € 
20.04.2015;1540;Gerhart-Hauptmann-Straße in Höhe von Haus-Nr. 2;112402; 20,00 € 
20.04.2015;1616;Kurze Straße, Kindergarten;112216; 15,00 € 
20.04.2015;1039;Zum Bollwerk / DE, Parkplatz;113142; 20,00 € 
20.04.2015;909;Josefstraße / C3 ggü. Haus-Nr. 58;113140; 10,00 € 
20.04.2015;1242;Josefstraße / C3 in Höhe von Haus-Nr. 54;113144; 30,00 € 
20.04.2015;914;Josefstraße / C3 in Höhe von Haus-Nr. 42;113140; 10,00 € 
20.04.2015;916;Josefstraße / C3 in Höhe von Haus-Nr. 40;113140; 10,00 € 
20.04.2015;928;Voßrather Straße in Höhe von Haus-Nr. 2;141322; 15,00 € 
20.04.2015;930;Voßrather Straße in Höhe von Haus-Nr. 2;141322; 15,00 € 
20.04.2015;1250;Josefstraße / C3 in Höhe von Haus-Nr. 29;113144; 30,00 € 
20.04.2015;1246;Josefstraße / C3 in Höhe von Haus-Nr. 31;113144; 30,00 € 
20.04.2015;936;Josefstraße / C3 in Höhe von Haus-Nr. 31;113140; 10,00 € 
20.04.2015;1245;Josefstraße / C3 in Höhe von Haus-Nr. 33;113144; 30,00 € 
20.04.2015;948;Annastraße / C3 in Höhe von Haus-Nr. 27;113140; 10,00 € 
20.04.2015;950;Annastraße / C3 in Höhe von Haus-Nr. 23;113140; 10,00 € 
20.04.2015;953;Annastraße / C3 in Höhe von Haus-Nr. 22;113140; 10,00 € 
20.04.2015;747;Hattropstraße in Höhe von Haus-Nr., Schule;141311; 15,00 € 
20.04.2015;800;Katzbachstraße, Ecke Gleiwitzerstr.;112060; 10,00 € 
20.04.2015;806;Katzbachstraße in Höhe von Haus-Nr., Eichendorffschule;141310; 10,00 € 
20.04.2015;804;Katzbachstraße, Ecke Gleiwitzerstr.;112456; 10,00 € 
20.04.2015;803;Katzbachstraße in Höhe von Haus-Nr., Eichendorffschule;141310; 10,00 € 
20.04.2015;810;Katzbachstraße in Höhe von Haus-Nr., Eichendorffschule;141312; 15,00 € 
20.04.2015;830;Eupener Straße, Ecke Lindenstr.;112042; 15,00 € 
20.04.2015;833;Donaustraße in Höhe von Haus-Nr. 77m;141312; 15,00 € 
20.04.2015;835;Donaustraße in Höhe von Haus-Nr. 81m;141312; 15,00 € 
20.04.2015;951;Wörthstraße in Höhe von Haus-Nr. 8;112292; 10,00 € 
20.04.2015;953;Wörthstraße in Höhe von Haus-Nr. 4;113300; 10,00 € 
20.04.2015;1015;Kaiserstraße in Höhe von Haus-Nr. 25;141312; 15,00 € 
20.04.2015;1216;Humboldtstraße in Höhe von Haus-Nr. 7;113303; 25,00 € 
20.04.2015;1217;Humboldtstraße in Höhe von Haus-Nr. 7;113303; 25,00 € 
20.04.2015;1026;An der Berufsschule, PpL;142278; 35,00 € 
20.04.2015;1027;An der Berufsschule, PpL;113320; 10,00 € 
20.04.2015;1028;An der Berufsschule, PpL;113320; 10,00 € 
20.04.2015;1029;An der Berufsschule, PpL;141015; 10,00 € 
20.04.2015;1030;An der Berufsschule, PpL;113300; 10,00 € 
20.04.2015;1031;An der Berufsschule, PpL;141015; 10,00 € 
20.04.2015;1033;An der Berufsschule, PpL;112216; 35,00 € 
20.04.2015;919;Zum Bollwerk / DE, Parkplatz;113140; 10,00 € 
20.04.2015;1032;An der Berufsschule, PpL;141015; 10,00 € 
20.04.2015;1536;Homberger Straße / C1 in Höhe von Haus-Nr. 68;113140; 10,00 € 
20.04.2015;1606;Homberger Straße / C1 in Höhe von Haus-Nr. 69;141382; 15,00 € 
20.04.2015;1500;Meerstraße / B ggü. Haus-Nr. 3;142278; 35,00 € 
20.04.2015;1003;Annastraße / C3 in Höhe von Haus-Nr. 27;113140; 10,00 € 
20.04.2015;940;Adam-Riese-Straße in Höhe von Haus-Nr. 37;142103; 15,00 € 
21.04.2015;1015;Bankstraße / C1 ggü. Haus-Nr. 37;112402; 20,00 € 
21.04.2015;1021;Bankstraße / C1 in Höhe von Haus-Nr. 8;141322; 15,00 € 
21.04.2015;1053;Otto-Hue-Straße / C1 ggü. Haus-Nr. 6;141015; 25,00 € 
21.04.2015;1056;Homberger Straße / C1 in Höhe von Haus-Nr. 69;113120; 10,00 € 
21.04.2015;1132;Homberger Straße / C1, Vor Kreisverkehr;113120; 10,00 € 
21.04.2015;1146;Augustastraße / C1 in Höhe von Haus-Nr. 13;141422; 10,00 € 
21.04.2015;1531;Augustastraße / C1 in Höhe von Haus-Nr. 13;141424; 20,00 € 
21.04.2015;1149;Augustastraße / C1 in Höhe von Haus-Nr. 22;113140; 10,00 € 
21.04.2015;1152;Mittelstraße / C1 in Höhe von Haus-Nr. 5;113140; 10,00 € 
21.04.2015;1455;Diergardtstraße in Höhe von Haus-Nr. 38;113243; 25,00 € 
21.04.2015;1201;Diergardtstraße in Höhe von Haus-Nr. 42;113240; 10,00 € 
21.04.2015;1205;Diergardtstraße, Höhe Kindergarten;113240; 10,00 € 
21.04.2015;1207;Diergardtstraße ggü. Haus-Nr. 36;113240; 10,00 € 
21.04.2015;1212;Filder Straße in Höhe von Haus-Nr. 4;113240; 10,00 € 
21.04.2015;1217;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
21.04.2015;1409;Hanckwitzstraße / B, Parkplatz;113182; 20,00 € 
21.04.2015;1604;Kiebitzweg 18, Wendehammer;112062; 25,00 € 
21.04.2015;1607;Kiebitzweg 18, Wendehammer;112062; 15,00 € 
21.04.2015;1611;Kiebitzweg 20, Wendehammer;112062; 15,00 € 
21.04.2015;1615;Heinestraße 13;112042; 15,00 € 
21.04.2015;1626;Kühlerstraße 40;112042; 15,00 € 
21.04.2015;1630;Kühlerstraße 42;112042; 15,00 € 
21.04.2015;1634;Kiebitzweg 2;112402; 20,00 € 
21.04.2015;1637;Lintforter Straße 78;112042; 15,00 € 
21.04.2015;1658;Otto-Ottsen-Straße 10a;112402; 20,00 € 
21.04.2015;1700;Otto-Ottsen-Straße 8c, Gegen Baumscheide;112103; 25,00 € 
21.04.2015;1706;Otto-Ottsen-Straße 58;112042; 15,00 € 
21.04.2015;1712;Kaiserstraße 103;112042; 15,00 € 
21.04.2015;1907;Repelener Straße 15;141112; 20,00 € 
21.04.2015;1916;Stormstraße 2, Turnhalle Ppl.;141312; 15,00 € 
21.04.2015;2007;Azaleenweg neben Haus-Nr. 101;142103; 10,00 € 
21.04.2015;2009;Azaleenweg 103, Giebel;142103; 10,00 € 
21.04.2015;833;Filder Straße in Höhe von Haus-Nr. 29;141322; 15,00 € 
21.04.2015;836;Filder Straße in Höhe von Haus-Nr. 33;141322; 15,00 € 
21.04.2015;1423;Filder Straße in Höhe von Haus-Nr. 35;141324; 25,00 € 
21.04.2015;946;Zum Bollwerk / DE, Parkplatz;113150; 10,00 € 
21.04.2015;948;Zum Bollwerk / DE, Parkplatz;113140; 10,00 € 
21.04.2015;953;Zum Bollwerk / DE, Parkplatz;113140; 10,00 € 
21.04.2015;1033;Im Angerfeld ggü. Haus-Nr. 8;142103; 10,00 € 
21.04.2015;1034;Im Angerfeld ggü. Haus-Nr. 8;142103; 10,00 € 
21.04.2015;1037;Melissenstraße, Ecke Im Angerfeld;142103; 10,00 € 
21.04.2015;1054;Tervoortstraße in Höhe von Haus-Nr. 4;112042; 15,00 € 
21.04.2015;1802;Kaldenhausener Straße, Südseite Bauernhof;141314; 25,00 € 
21.04.2015;1443;Wilhelm-Schroeder-Straße / C2 in Höhe von Haus-Nr. 14;113281; 15,00 € 
21.04.2015;1203;Diergardtstraße ggü. Haus-Nr., Höhe Kindergarten;113240; 10,00 € 
21.04.2015;1112;Hopfenstraße in Höhe von Haus-Nr. 8;141312; 15,00 € 
21.04.2015;1502;Haagstraße / B ggü. Haus-Nr. 26;142278; 35,00 € 
21.04.2015;831;Filder Straße in Höhe von Haus-Nr. 25;141322; 15,00 € 
21.04.2015;835;Filder Straße in Höhe von Haus-Nr. 31;141322; -   € 
21.04.2015;943;Im Rosenthal / B ggü. Haus-Nr. 12;113120; 10,00 € 
21.04.2015;1131;Homberger Straße / C1, Vor Kreisverkehr;113140; 10,00 € 
21.04.2015;1039;Melissenstraße ggü. Haus-Nr. 57;142103; 10,00 € 
21.04.2015;1112;Hoffnungstraße ggü. Haus-Nr. 30;141062; 30,00 € 
21.04.2015;1424;Filder Straße in Höhe von Haus-Nr. 35;141324; 25,00 € 
21.04.2015;1502;Bankstraße / C1 in Höhe von Haus-Nr. 8;141322; 15,00 € 
21.04.2015;1504;Bankstraße / C1 in Höhe von Haus-Nr. 8;141322; 15,00 € 
21.04.2015;1511;Homberger Straße / C1 in Höhe von Haus-Nr. 90;113180; 10,00 € 
21.04.2015;1515;Essenberger Straße / C1 in Höhe von Haus-Nr. 4;113140; 10,00 € 
21.04.2015;1517;Essenberger Straße / C1 in Höhe von Haus-Nr. 4;113140; 10,00 € 
21.04.2015;1522;Essenberger Straße / C1, Parkplatz;113140; 10,00 € 
21.04.2015;1611;Essenberger Straße / C1, Parkplatz;113121; 15,00 € 
21.04.2015;1541;Oberwallstraße / B in Höhe von Haus-Nr. 29;141422; 10,00 € 
21.04.2015;953;Meerstraße / B, Innenhof;113140; 10,00 € 
21.04.2015;1007;Haagstraße / B in Höhe von Haus-Nr. 9;113140; 10,00 € 
21.04.2015;1107;Kautzstraße / B ggü. Haus-Nr. P.haus, gegenüber Parkhaus;112402; 20,00 € 
21.04.2015;1129;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
21.04.2015;1131;Hanckwitzstraße / B, Parkplatz;113121; 15,00 € 
21.04.2015;1149;Meerstraße / B, Innenhof;113140; 10,00 € 
21.04.2015;1217;Meerstraße / B, Schotterplatz;113121; 15,00 € 
21.04.2015;1219;Meerstraße / B, Schotterplatz;113140; 10,00 € 
21.04.2015;1222;Meerstraße / B, Parkplatz;113121; 15,00 € 
21.04.2015;1332;Meerstraße / B, Schotterplatz;113142; 20,00 € 
21.04.2015;1334;Meerstraße / B, Schotterplatz;113142; 20,00 € 
21.04.2015;1238;Pfefferstraße in Höhe von Haus-Nr. 7;141106; 30,00 € 
21.04.2015;1241;Pfefferstraße in Höhe von Haus-Nr. 5;141106; 30,00 € 
21.04.2015;1313;Meerstraße / B, Parkplatz;113121; 15,00 € 
21.04.2015;1323;Meerstraße / B, Schotterplatz;113122; 20,00 € 
21.04.2015;1327;Meerstraße / B, Schotterplatz;113140; 10,00 € 
21.04.2015;1330;Meerstraße / B, Schotterplatz;113140; 10,00 € 
21.04.2015;1336;Meerstraße / B, Schotterplatz;113121; 15,00 € 
21.04.2015;1340;Im Rosenthal / B ggü. Haus-Nr. 12, Parkplatz;113121; 15,00 € 
21.04.2015;1343;Meerstraße / B in Höhe von Haus-Nr. 11, Parkplatz;113140; 10,00 € 
21.04.2015;1353;Kastell / B, Parkplatz;113122; 20,00 € 
21.04.2015;1400;Kastell / B, Parkplatz;113300; 10,00 € 
21.04.2015;1422;Rheinberger Straße ggü. Haus-Nr. 33;113260; 10,00 € 
21.04.2015;1432;Wilhelm-Schroeder-Straße / C2, Parkplatz;113140; 10,00 € 
21.04.2015;1435;Wilhelm-Schroeder-Straße / C2, Parkplatz;113121; 15,00 € 
21.04.2015;1437;Wilhelm-Schroeder-Straße / C2, Parkplatz;113140; 10,00 € 
21.04.2015;1445;Wilhelm-Schroeder-Straße / C2 in Höhe von Haus-Nr. 14;113281; 15,00 € 
21.04.2015;1451;Homberger Straße / C1, Vor Kreisverkehr;113140; 10,00 € 
21.04.2015;1455;Otto-Hue-Straße / C1 ggü. Haus-Nr. 4;113140; 10,00 € 
21.04.2015;1500;Bankstraße / C1 in Höhe von Haus-Nr. 6;141322; 15,00 € 
21.04.2015;1501;Bankstraße / C1 in Höhe von Haus-Nr. 8;141322; 15,00 € 
21.04.2015;1104;Hoffnungstraße ggü. Haus-Nr. 10;141062; 30,00 € 
21.04.2015;1106;Hoffnungstraße ggü. Haus-Nr. 12;141062; 30,00 € 
21.04.2015;1110;Hoffnungstraße ggü. Haus-Nr. 24;141062; 30,00 € 
21.04.2015;1111;Hoffnungstraße ggü. Haus-Nr. 28;141062; 30,00 € 
21.04.2015;1113;Hoffnungstraße in Höhe von Haus-Nr. 28;141062; 30,00 € 
21.04.2015;1114;Hoffnungstraße in Höhe von Haus-Nr. 24;141062; 30,00 € 
21.04.2015;1117;Hoffnungstraße in Höhe von Haus-Nr. 14;141062; 30,00 € 
21.04.2015;1118;Hoffnungstraße in Höhe von Haus-Nr. 14;141062; 30,00 € 
21.04.2015;1119;Hoffnungstraße in Höhe von Haus-Nr. 14;141062; 30,00 € 
21.04.2015;1146;Nordring / C2, Wendekreis;141312; 15,00 € 
21.04.2015;1432;Meerstraße / B, Schotterplatz;113140; 10,00 € 
21.04.2015;1434;Meerstraße / B, Schotterplatz;113121; 15,00 € 
21.04.2015;1439;Meerstraße / B in Höhe von Haus-Nr., Schotterplatz;113120; 10,00 € 
21.04.2015;1441;Meerstraße / B in Höhe von Haus-Nr., Schotterplatz;113140; 10,00 € 
21.04.2015;1447;Meerstraße / B, Schotterplatz;113120; 10,00 € 
21.04.2015;1448;Meerstraße / B, Schotterplatz;113121; 15,00 € 
21.04.2015;1459;Haagstraße / B ggü. Haus-Nr. 28;142278; 35,00 € 
21.04.2015;1620;Neumarkt / A, Parkplatz;113140; 10,00 € 
21.04.2015;1641;Fieselstraße in Höhe von Haus-Nr. 28;141312; 35,00 € 
21.04.2015;929;Mühlenstraße / DE, Parkplatz;113140; 10,00 € 
21.04.2015;932;Mühlenstraße / DE, Parkplatz;113150; 10,00 € 
21.04.2015;936;Mühlenstraße / DE, Parkplatz;329119; 25,00 € 
21.04.2015;946;Seminarstraße in Höhe von Haus-Nr. 11;141402; 10,00 € 
21.04.2015;953;Gellertstraße in Höhe von Haus-Nr. 17;113240; 10,00 € 
21.04.2015;1007;Feldstraße / C1 in Höhe von Haus-Nr. 73;113240; 10,00 € 
21.04.2015;1422;Filder Straße in Höhe von Haus-Nr. 35;141324; 25,00 € 
21.04.2015;1019;Karl-Hoffmeister-Straße ggü. Haus-Nr. 32;141118; 15,00 € 
21.04.2015;1020;Karl-Hoffmeister-Straße ggü. Haus-Nr. 32;141118; 15,00 € 
21.04.2015;1023;Karl-Hoffmeister-Platz / C1 hinter Haus-Nr. 5;113140; 10,00 € 
21.04.2015;1030;Karl-Hoffmeister-Straße in Höhe von Haus-Nr. 26;141118; 15,00 € 
21.04.2015;1037;Karl-Hoffmeister-Straße in Höhe von Haus-Nr. 11;141118; 15,00 € 
21.04.2015;1041;Tersteegenstraße / C1 in Höhe von Haus-Nr. 1;141118; 15,00 € 
21.04.2015;1043;Tersteegenstraße / C1 ggü. Haus-Nr. 1;141118; 15,00 € 
21.04.2015;1045;Tersteegenstraße / C1 in Höhe von Haus-Nr. 7;141118; 15,00 € 
21.04.2015;1048;Tersteegenstraße / C1 in Höhe von Haus-Nr. 8;141118; 15,00 € 
21.04.2015;1052;Goethestraße / C1 in Höhe von Haus-Nr. 21;113140; 10,00 € 
21.04.2015;1100;Tersteegenstraße / C1 in Höhe von Haus-Nr. 1;113140; 10,00 € 
21.04.2015;1104;Karl-Hoffmeister-Platz / C1 in Höhe von Haus-Nr. 2;113120; 10,00 € 
21.04.2015;1109;Tersteegenstraße / C1 in Höhe von Haus-Nr. 26;113140; 10,00 € 
21.04.2015;1112;Tersteegenstraße / C1 ggü. Haus-Nr. 26;113120; 10,00 € 
21.04.2015;1125;Landwehrstraße / C1 in Höhe von Haus-Nr. 23;113280; 10,00 € 
21.04.2015;1136;Wilhelm-Schroeder-Straße / C2, Parkplatz;113140; 10,00 € 
21.04.2015;1140;Wilhelm-Schroeder-Straße / C2, Parkplatz;113120; 10,00 € 
21.04.2015;1142;Wilhelm-Schroeder-Straße / C2, Parkplatz;113120; 10,00 € 
21.04.2015;1427;Gabelsbergerstraße in Höhe von Haus-Nr. 15;113243; 25,00 € 
21.04.2015;1154;Seminarstraße in Höhe von Haus-Nr. 18;113240; 10,00 € 
21.04.2015;1421;Rheinberger Straße ggü. Haus-Nr. 33;113284; 30,00 € 
21.04.2015;1405;Hanckwitzstraße / B, Parkplatz;113150; 10,00 € 
21.04.2015;1417;Filder Straße in Höhe von Haus-Nr. 4;113240; 10,00 € 
21.04.2015;1429;Blumenstraße in Höhe von Haus-Nr. 3;113240; 10,10 € 
21.04.2015;1433;Sedanstraße in Höhe von Haus-Nr. 5;113240; 10,00 € 
21.04.2015;1438;Gartenstraße 36;113240; 10,00 € 
21.04.2015;1440;Gartenstraße ggü. Haus-Nr. 36;113240; 10,00 € 
21.04.2015;1442;Gartenstraße 36;113240; 10,00 € 
21.04.2015;1444;Gartenstraße ggü. Haus-Nr. 36;113240; 10,00 € 
21.04.2015;1446;Gartenstraße ggü. Haus-Nr. 28, Ecke Sedanstr.;113240; 10,00 € 
21.04.2015;1451;Gartenstraße in Höhe von Haus-Nr. 35;113240; 10,00 € 
21.04.2015;1456;Diergardtstraße ggü. Haus-Nr. 24;113240; 10,00 € 
21.04.2015;1459;Prinzenstraße in Höhe von Haus-Nr. 17;113240; 10,00 € 
21.04.2015;1501;Diergardtstraße in Höhe von Haus-Nr. 11;113240; 10,00 € 
21.04.2015;1511;Kautzstraße / B, Parkplatz;113140; 10,00 € 
21.04.2015;1513;Kautzstraße / B, Parkplatz;113140; 10,00 € 
21.04.2015;1515;Kautzstraße / B, Parkplatz;113140; 10,00 € 
21.04.2015;1525;Hopfenstraße in Höhe von Haus-Nr. 24;141118; 15,00 € 
21.04.2015;1544;Tersteegenstraße / C1 ggü. Haus-Nr. 1;141118; 15,00 € 
21.04.2015;1546;Tersteegenstraße / C1 ggü. Haus-Nr. 3;141118; 15,00 € 
21.04.2015;1549;Tersteegenstraße / C1 in Höhe von Haus-Nr. 7;141118; 15,00 € 
21.04.2015;1552;Tersteegenstraße / C1 in Höhe von Haus-Nr. 18;141118; 15,00 € 
21.04.2015;1555;Goethestraße / C1 in Höhe von Haus-Nr. 9;113140; 10,00 € 
21.04.2015;1557;Goethestraße / C1 in Höhe von Haus-Nr. 7;113140; 10,00 € 
21.04.2015;1601;Goethestraße / C1 in Höhe von Haus-Nr. 1;141422; 10,00 € 
21.04.2015;1609;Essenberger Straße / C1, Parkplatz;113120; 10,00 € 
21.04.2015;1614;Essenberger Straße / C1, Parkplatz;113120; 15,00 € 
21.04.2015;1619;Homberger Straße / C1 in Höhe von Haus-Nr. 56;141106; 30,00 € 
21.04.2015;1638;Neumarkt / A, Parkplatz;113120; 10,00 € 
21.04.2015;1642;Neumarkt / A, Parkplatz;113120; 10,00 € 
21.04.2015;1643;Neumarkt / A, Parkplatz;113140; 10,00 € 
21.04.2015;849;Nordring / C2 in Höhe von Haus-Nr. 6;141062; 30,00 € 
21.04.2015;851;Nordring / C2 in Höhe von Haus-Nr. 4;141062; 30,00 € 
21.04.2015;859;Baerler Straße in Höhe von Haus-Nr. 6;141312; 15,00 € 
21.04.2015;902;Seminarstraße in Höhe von Haus-Nr. 43;141412; 40,00 € 
21.04.2015;918;Klever Straße ggü. Haus-Nr. 23c, Gegenüber Reifen-Service;113320; 10,00 € 
21.04.2015;922;Klever Straße ggü. Haus-Nr. 23a;113320; 10,00 € 
21.04.2015;928;Friedrich-Ebert-Platz / De, Parkplatz;141352; 15,00 € 
21.04.2015;1019;Bankstraße / C1 in Höhe von Haus-Nr. 10;113141; 25,00 € 
21.04.2015;937;Homberger Straße / C1 in Höhe von Haus-Nr. 76;113120; 10,00 € 
21.04.2015;955;Essenbergerstr Straße / C1, Parkplatz;113140; 10,00 € 
21.04.2015;957;Essenbergerstr Straße / C1, Parkplatz;113120; 10,00 € 
21.04.2015;1016;Karl-Hoffmeister-Straße in Höhe von Haus-Nr. 34;141118; 15,00 € 
22.04.2015;944;Filder Straße ggü. Haus-Nr. 6;141322; 15,00 € 
22.04.2015;947;Filder Straße in Höhe von Haus-Nr. 12;113240; 10,00 € 
22.04.2015;1511;Diergardtstraße ggü. Haus-Nr. 24;113244; 30,00 € 
22.04.2015;1000;Wiedstraße in Höhe von Haus-Nr. 20;113240; 10,00 € 
22.04.2015;1012;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
22.04.2015;1026;Haagstraße / B in Höhe von Haus-Nr. 35/37;141106; 30,00 € 
22.04.2015;1032;Meerstraße / B, Parkplatz;113140; 10,00 € 
22.04.2015;1036;Meerstraße / B, Schotterplatz;113150; 10,00 € 
22.04.2015;1041;Meerstraße / B, Schotterplatz;113140; 10,00 € 
22.04.2015;1051;Neumarkt / A, Parkplatz;113121; 15,00 € 
22.04.2015;1054;Neumarkt / A, Parkplatz;113120; 10,00 € 
22.04.2015;1058;Neumarkt / A ggü. Haus-Nr. 23;141106; 20,00 € 
22.04.2015;1708;Am Viegenhof 47;142103; 10,00 € 
22.04.2015;1635;Azaleenweg 75, Giebel;142103; 10,00 € 
22.04.2015;1637;Azaleenweg 103, Giebel;142103; 10,00 € 
22.04.2015;1640;Oleanderweg ggü. Haus-Nr. 80, Wendehammer;142103; 10,00 € 
22.04.2015;1654;Jungbornstraße, Ecke Lintforterstr.;141312; 15,00 € 
22.04.2015;1703;Am Viegenhof neben Haus-Nr. 30, Giebel;142103; 10,00 € 
22.04.2015;1705;Am Viegenhof neben Haus-Nr. 30, Giebel;142103; 10,00 € 
22.04.2015;1710;Wedenhofstraße 42;142103; 10,00 € 
22.04.2015;1712;Elisabeth-Selbert-Straße ggü. Haus-Nr. 19;142103; 10,00 € 
22.04.2015;1718;Am Sportzentrum, Parkplatz;142262; 10,00 € 
22.04.2015;1726;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
22.04.2015;1727;Pferdsweide ggü. Haus-Nr. 30, AKTIV Sportpark;141312; 15,00 € 
22.04.2015;1738;Rheinberger Straße in Höhe von Haus-Nr. 104, Fünderich;141062; 30,00 € 
22.04.2015;1809;Kimbernstraße neben Haus-Nr. 4, Wendehammer;142103; 10,00 € 
22.04.2015;1810;Kimbernstraße neben Haus-Nr. 4, Wendehammer;142103; 10,00 € 
